"X","Y","name","class","generationmw","generatornumber"
150.966396,-32.3892529999999,"Hunter Valley","Non Renewable",50,2
150.47953,-34.72297,"Kangaroo Valley (Shoalhaven Scheme)","Renewable",160,2
150.97757,-32.3712669999999,"Liddell","Non Renewable",2200,4
130.925408,-12.389174,"Landfill Management Services Shoal Bay","Renewable",1.1,1
134.175285,-19.65493,"Tennant Creek","Non Renewable",16.7,NA
133.891175,-23.709109,"Ron Goodin","Non Renewable",44.6,NA
133.825487,-23.8636109999999,"Owen Springs","Non Renewable",36,3
133.828143,-23.881698,"Brewer","Non Renewable",8.5,3
130.991181,-25.232313,"Yulara","Non Renewable",10.95,NA
131.862362,-13.78561,"Pine Creek","Non Renewable",34.76,6
132.244506,-14.4586929999999,"Katherine","Non Renewable",34.7,NA
133.823587,-19.443393,"Warrego","Non Renewable",19,NA
145.991000416,-17.605685132,"South Johnstone","Renewable",20,NA
145.788711404,-17.0931655009999,"Mulgrave","Renewable",13,NA
140.757461919,-36.316432794,"Blue Lake Milling Power Plant","Non Renewable",1,1
140.736769358,-36.326556387,"Tatiara Meats","Non Renewable",0.5,1
126.643955229,-14.293855535,"Kalumburu","Non Renewable",0.7,5
123.041373843,-16.444417221,"Ardyaloon","Non Renewable",0.8,6
122.903589508,-16.51990769,"Djarindjin","Non Renewable",0.7,5
122.658508646,-16.9939000649999,"Beagle Bay","Non Renewable",0.7,5
121.784780931,-18.681627174,"Bidyadanga","Non Renewable",1.3,NA
115.208289215,-25.055693758,"Gascoyne Junction","Non Renewable",0.4,NA
120.218508926,-26.592159893,"Wiluna","Non Renewable",1.3,NA
116.683491618,-28.3375366339999,"Yalgoo","Non Renewable",0.4,1
113.675375406,-24.8691596789999,"Carnarvon","Non Renewable",15,13
113.709532804,-24.891051456,"Mungullah","Non Renewable",18,NA
114.133505648,-21.8126315,"Exmouth Advanced Mini Wind Farm","Renewable",0.06,3
116.068797494,-33.235493274,"Worsley","Non Renewable",120,4
114.169691779,-27.715246947,"Kalbarri PV System","Renewable",0.02,16
121.769038875,-33.880169063,"Esperance Wind Farm Ten Mile Lagoon","Renewable",2.03,9
116.308719509,-33.4468068319999,"Muja B","Non Renewable",120,NA
121.794333843,-32.1962648049999,"Norseman Mine","Non Renewable",9,NA
121.269766105,-27.897207161,"Darlot Gold Mine","Non Renewable",11.7,NA
118.537146964,-28.293313021,"Windimurra Vanadium Mine","Non Renewable",23.7,7
115.528913928,-31.9937519919999,"Rottnest Island Wind Turbine","Renewable",0.6,1
119.404016951,-22.3247102719999,"Cloudbreak","Non Renewable",44,18
118.538374345,-20.3781789609999,"Port Hedland","Non Renewable",84,2
115.877327088,-31.8653894019999,"Noranda","Renewable",1.1,1
116.099239677,-31.8316505829999,"Red Hill","Renewable",3.65,4
115.792443498,-31.957666656,"Shenton Park WMRC Project","Renewable",1,NA
115.998793327,-31.9767786159999,"Kalamunda","Non Renewable",1.3,1
115.891405691,-32.07389875,"Canning Vale","Renewable",4,1
116.012871548,-32.022750964,"Gosnells","Renewable",1.1,1
153.118466936,-27.445266809,"KRC Cogeneration Plant","Non Renewable",4.2,NA
144.968480123,-37.8085960029999,"Melbourne","Non Renewable",1.2,1
144.960650123,-37.8061182289999,"Carlton","Non Renewable",0.4,1
145.8974099,-37.243071761,"Eildon Small Hydro","Renewable",5,1
144.405575687,-38.058658877,"Corio","Renewable",1,1
145.278121544,-38.023178113,"South East Water Hallam Plant","Renewable",0.25,1
145.84577523,-37.302724591,"Lower Rubicon","Renewable",13.55,1
145.864526818,-37.373920676,"Royston","Renewable",0.9,1
145.847678708,-37.340086625,"Rubicon Falls","Renewable",0.3,1
144.12215301,-37.427135746,"Leonards Hill","Renewable",4.1,2
151.683889878,-30.4994106669999,"Box Hill","Renewable",25,NA
138.720283573,-34.849029023,"Highbury","Renewable",2,1
138.712850985,-34.830327068,"Tea Tree Gully","Renewable",1,1
138.49145908,-35.110395344,"Port Stanvac","Non Renewable",57.6,36
152.717096095,-25.547588005,"Maryborough","Renewable",7.5,NA
153.246302578,-27.73344896,"Stapylton Green Energy","Renewable",4.8,NA
119.391481424,-34.3990071549999,"Bremer Bay Wind Turbine","Renewable",0.6,1
119.388804331,-34.401828178,"Bremer Bay Diesel Backup","Non Renewable",1.3,1
113.772066779,-23.154419167,"Coral Bay Wind Turbines","Renewable",0.83,3
